Size,schoolMult,dacMult,karatsubaMult
1,0.003767,0.001133,0.000667
2,0.000633,0.000567,0.000500
4,0.000833,0.000767,0.000800
8,0.001667,0.001567,0.001800
16,0.004567,0.004700,0.004300
32,0.015967,0.015867,0.071500
64,0.064567,0.065233,0.099367
128,0.286233,0.267733,0.280867
256,0.872300,0.616833,0.551067
512,2.867433,2.541467,1.674900
1024,13.249067,11.577100,8.001033
2048,49.827733,40.166267,14.086500
4096,177.813033,154.163900,42.867433
8192,712.212433,613.721133,127.380200
10000,1071.307733,931.287900,162.133333
